ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
216452,GAN,15128,35.7621,139.825,2.29612,2020-01-20,00:20,2020-01-19,15:20,2,,,1/4 of sky,Taurus,,,Japan
216454,GAN,15130,35.8076,139.379,124.136,2020-01-20,23:35,2020-01-20,14:35,2,,,1/2 of sky,Taurus,,,Japan
216486,GAN,15167,35.7399,139.577,54.725,2020-01-19,23:17,2020-01-19,14:17,2,,,clear,Orion,,,Japan
216498,GAN,15182,35.3479,139.578,65.9455,2020-01-19,20:00,2020-01-19,11:00,2,,,1/4 of sky,Perseus,,,Japan
216507,GAN,15195,35.7017,139.768,20.402,2020-01-19,21:30,2020-01-19,12:30,2,,,clear,Taurus,,,Japan
216514,GAN,15206,35.835,139.679,8.0,2020-01-20,17:58,2020-01-20,08:58,2,,,1/4 of sky,Perseus,,,Japan
216516,GAN,15208,35.7096,139.717,20.7051,2020-01-20,18:46,2020-01-20,09:46,-9999,,,clear,Taurus,,,Japan
216517,GAN,15209,35.7512,139.709,33.4719,2020-01-20,19:01,2020-01-20,10:01,2,,,1/4 of sky,Perseus,,,Japan
216518,GAN,15210,35.7371,140.114,5.05764,2020-01-20,19:02,2020-01-20,10:02,4,,,clear,Orion,,,Japan
216519,GAN,15211,35.7203,139.811,3.88031,2020-01-20,19:06,2020-01-20,10:06,-9999,,,1/4 of sky,Taurus,,,Japan
216520,GAN,15212,35.7434,139.736,19.2254,2020-01-20,19:06,2020-01-20,10:06,3,,,clear,Taurus,,,Japan
216521,GAN,15213,35.7434,139.951,7.90617,2020-01-20,19:19,2020-01-20,10:19,2,,,1/4 of sky,Orion,,,Japan
216522,GAN,15214,35.6582,139.774,1.8381,2020-01-20,19:25,2020-01-20,10:25,1,,,clear,Orion,,,Japan
216523,GAN,15215,35.6101,140.112,4.35173,2020-01-20,19:29,2020-01-20,10:29,3,,,1/2 of sky,Orion,,,Japan
216524,GAN,15216,35.7139,139.453,86.8566,2020-01-20,19:36,2020-01-20,10:36,3,,,1/4 of sky,Orion,,,Japan
216525,GAN,15218,35.872,139.647,18.981,2020-01-20,19:47,2020-01-20,10:47,1,,,1/4 of sky,Taurus,,,Japan
216526,GAN,15219,35.5914,140.14,25.4497,2020-01-20,20:01,2020-01-20,11:01,3,,,over 1/2 of sky,Orion,,,Japan
216527,GAN,15220,35.7712,139.701,25.4348,2020-01-20,20:18,2020-01-20,11:18,3,,,1/4 of sky,Orion,,,Japan
216528,GAN,15221,35.8877,139.777,4.30617,2020-01-20,20:26,2020-01-20,11:26,3,,,1/2 of sky,Taurus,,,Japan
216529,GAN,15223,35.7613,139.684,31.145,2020-01-20,20:35,2020-01-20,11:35,2,,,1/4 of sky,Orion,,,Japan
216530,GAN,15224,35.6999,139.618,47.8336,2020-01-20,20:42,2020-01-20,11:42,2,,,1/4 of sky,Taurus,,,Japan
216531,GAN,15225,35.786,139.456,68.6811,2020-01-20,20:43,2020-01-20,11:43,2,,,1/4 of sky,Taurus,,,Japan
216532,GAN,15226,35.7526,139.715,24.6153,2020-01-20,19:38,2020-01-20,11:38,2,,,1/4 of sky,Perseus,,,Japan
216533,GAN,15229,35.7761,139.423,85.1115,2020-01-20,20:47,2020-01-20,11:47,1,,,clear,Taurus,,,Japan
216534,GAN,15230,35.7761,139.423,85.1115,2020-01-20,20:47,2020-01-20,11:47,1,,,clear,Taurus,,,Japan
216535,GAN,15231,35.6568,140.171,14.8245,2020-01-20,20:55,2020-01-20,11:55,3,,,clear,Taurus,,,Japan
216536,GAN,15232,35.7738,139.689,14.7981,2020-01-20,21:04,2020-01-20,12:04,-9999,,,clear,Orion,,,Japan
216537,GAN,15233,35.7742,139.828,1.69433,2020-01-20,21:19,2020-01-20,12:19,1,,,1/4 of sky,Orion,,,Japan
